nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm3819210	Kim Pitt-Foster	\N	\N	miscellaneous	tt0105215
nm4059975	J. Mitchell Haley	\N	\N	actor	tt1719566
nm6152714	Jessica Slattery	\N	\N	actress	tt3391532
nm1407609	Kevin Pigeau	\N	\N	miscellaneous	tt0233656,tt0282695,tt0762145,tt0267694
nm0761861	Kathy Sandford	\N	\N	miscellaneous	tt0201522
nm8592103	Fig Eden	\N	\N	camera_department	tt0958063
nm13041366	Josie Burke	\N	\N	miscellaneous	tt15654810
nm7895257	Dan Jaffe	\N	\N	assistant_director	tt1863526
nm10777075	Donny Syndrome	\N	\N	editor	tt1661359
nm2202556	Katya Dimova	\N	\N	actress	tt0778826
nm5357077	Vic Lee	\N	\N	camera_department	tt4967094,tt14999006,tt0206501,tt22539124
nm0438076	Marcus Kaol	\N	\N	camera_department,miscellaneous	tt0105156
nm0558800	Leo Mathisen	1906	1969	actor,composer,soundtrack	tt0073141,tt0060299,tt0124270,tt0101646
nm4334669	Brett Landow	\N	\N	\N	tt1841592,tt2287771
nm13757189	Sean Li	\N	\N	editor	tt21047098
nm6611006	Aaron Pritchard	\N	\N	writer,producer	tt3844320
nm3474116	Marketta Korhonen	\N	\N	\N	tt1445055,tt1464298
nm16066937	Lars Widerström	1952	\N	archive_footage	tt32199862
nm3672513	Anton	\N	\N	\N	tt0208020
nm4596827	Damon Burrell	\N	\N	miscellaneous	tt1835129
nm10787866	Apollo LTD	\N	\N	soundtrack	tt9354944,tt14401846
nm0000587	Donald Pleasence	1919	1995	actor,writer,director	tt0082495,tt0077651,tt0062512,tt0057115
nm2061642	Michal Inditzki	\N	\N	make_up_department	tt0484339,tt3875436
nm15788961	Sebastián Rivera	\N	\N	cinematographer	tt31136911
nm12647771	Michiko Kaimei	\N	\N	art_department	tt14202738
nm5637368	Matt Brown	\N	\N	actor	tt2860750
nm11708866	Aaron Domanguex	\N	\N	actor	tt12636716
nm9870306	Mehmet Karagözoglu	\N	\N	casting_department,actor	tt9092718,tt8480486,tt5923410
nm10601405	Hervé Le Corre	\N	\N	\N	tt2435372
nm9542467	Jose Belen	\N	\N	\N	\N
nm1170173	Randy Rossie	\N	\N	art_department,miscellaneous	tt0201020,tt0301479
nm13504857	Date. V.V.	\N	\N	cinematographer,actor	tt27812292,tt28007066,tt0392301,tt0214574
nm11775868	Gagan Haryanvi	\N	\N	actor,composer	tt12800348,tt13045782
nm9927494	Adam Pronyk	\N	\N	producer	tt4177670
nm4532328	Rafael MacDonald	\N	\N	sound_department,producer,production_manager	tt3746878,tt2754676,tt2306663
nm13912680	George Smiddy	\N	\N	actor	\N
nm6482923	Donna Cansfield	\N	\N	\N	tt1292218
nm13376676	France Jonas	\N	\N	camera_department	tt13586204
nm7990721	Sami Saynevirta	\N	\N	\N	tt5523768
nm3994606	Madness	\N	\N	music_artist,actor,music_department	tt3381008,tt0147800,tt0762114,tt1605717
nm7113126	Drew Bradley	\N	\N	composer	tt4434342
nm5755304	Yu-ji Narita	\N	\N	actor	tt1782638
nm4817462	Christopher Broom	\N	\N	\N	tt2113920
nm3746917	Rachael Lang	\N	\N	actress,casting_director,miscellaneous	tt1124373,tt6952080,tt1986769,tt2252546
nm5897222	Rick Calman	\N	\N	\N	\N
nm1696114	Eri Kakurai	\N	\N	actress	tt0134928,tt0379227
nm12444986	Christiane Jenkins	\N	\N	\N	tt14347034
nm4951647	Sloane True	\N	\N	costume_department,miscellaneous	tt8629748,tt4781612,tt7126948,tt0443272
nm4461160	Anders Højsted	\N	\N	miscellaneous,writer	tt3080696,tt1754134,tt4823034
nm7798884	Lennart Häggroth	\N	\N	archive_footage	tt5278254
nm6440703	Gilles Maille	\N	\N	\N	tt3680090
nm13571334	David Carambat	\N	\N	\N	tt3551954
nm4941101	Pam Stewart	\N	\N	\N	tt0103396
nm12724124	Alexander	\N	\N	\N	tt13927026
nm16456622	Taylor Diamond	\N	\N	actor	tt19802608
nm14500313	Adrián García Seoane	\N	\N	miscellaneous	tt21265092
nm7788918	Kevin Faulconer	\N	\N	actor,archive_footage	tt17491652,tt3909186,tt13813270,tt1178692
nm14139677	Sarah Buchanan	\N	\N	camera_department	tt22740720
nm0597495	Megan Monaghan	\N	\N	location_management,actress,production_manager	tt0111742,tt0107507,tt0102768,tt0119314
nm16280809	Safa Aghajani	\N	\N	actress	tt32656922
nm12194633	Bob van Aelst	\N	\N	actor	tt13752184
nm0805205	Michael Sládek	1971	\N	director,producer,writer	tt1344819,tt2388647,tt0404912
nm6007657	Alfonso Fuentes	\N	\N	\N	tt3242548,tt13707000
nm1374484	Ross Bark	1974	\N	producer,director,writer	tt1460767,tt0366825,tt0396699,tt1148710
nm9512873	Navami Nair	\N	\N	actress	tt7794266
nm11055147	Larry Kovacs	\N	\N	producer	\N
nm13689463	Tanisha Bazemore	\N	\N	\N	\N
nm13307300	Anuj Mehta	\N	\N	assistant_director	tt17057964
nm10473687	Gavin Geddes	\N	\N	composer	tt9776688
nm3362343	John Postma	\N	\N	actor	tt1230182
nm16217058	Wilson Tan	\N	\N	actor	tt32509926
nm10829109	T. Yerkhova	\N	\N	editorial_department	tt0304911,tt0275254,tt6141288,tt0126492
nm2245557	Ute Aurend	\N	\N	miscellaneous	tt0079028
nm11404427	Célia Belin	\N	\N	\N	tt0476081,tt6268442,tt2190581,tt6027450
nm9805743	Endy Tenorio	\N	\N	actor	tt8288836,tt10776682
nm7513006	Seth Kalis	\N	\N	sound_department,director,camera_department	tt5926148,tt5600112,tt4872362,tt5974276
nm8770731	Mikayla Ryan	\N	\N	\N	tt6517828
nm6898562	Nathan Hesse	1990	\N	actor	tt4919268,tt5545398,tt5673782,tt14509130
nm14596366	Björn Schmid	\N	\N	miscellaneous	tt26896584
nm7669478	Erminio Deangelis	\N	\N	producer	tt5132444
nm1945149	Brian Bresser	\N	\N	miscellaneous	tt0325015,tt6267532
nm13091516	Maria Pfister	\N	\N	\N	tt0765274
nm0515432	José Lizana	\N	\N	art_department,miscellaneous,transportation_department	tt0098407,tt0087436,tt0093995,tt0102548
nm14606393	Marcz Szilvia	\N	\N	make_up_department	tt11277854
nm1107646	Murray Williams	\N	\N	miscellaneous	tt0449487,tt0457572,tt0213327,tt0214677
nm9023931	Adam Strawford	\N	\N	actor,producer	tt32263092,tt0115355,tt6944264,tt7262082
nm6152300	Jon G. Saragosa	\N	\N	\N	\N
